N,avgTime
10,281
20,849
30,1224
40,1498
50,1835
60,1999
70,2490
80,2697
90,3055
100,3629
110,3379
120,3543
130,3947
140,4010
150,4252
160,4070
170,4505
180,4583
190,4931
200,5023
210,5147
220,5253
230,5379
240,5642
250,5496
260,5744
270,5673
280,6196
290,6218
300,6291
310,6651
320,6587
330,6764
340,6824
350,7002
360,7280
370,7411
380,7457
390,7288
400,7713
410,7748
420,7898
430,7682
440,8069
450,8182
460,8737
470,8031
480,8820
490,8951
