N,avgTime
10,280
20,503
30,677
40,829
50,968
60,1047
70,1093
80,1183
90,1234
100,1343
110,1468
120,1475
130,1652
140,1610
150,1678
160,1690
170,1785
180,1751
190,1909
200,1868
210,2046
220,2042
230,2039
240,2140
250,2115
260,2166
270,2171
280,2220
290,2278
300,2295
310,2357
320,2436
330,2552
340,2528
350,2459
360,2469
370,2573
380,2623
390,2758
400,2750
410,2718
420,2749
430,2796
440,2946
450,2818
460,2849
470,2959
480,2979
490,3033
