N,k,avgTime
100,1,377
100,5,838
100,10,1324
100,20,1794
100,50,2522
100,100,2359
500,1,1154
500,5,1821
500,10,2598
500,20,4007
500,50,6970
500,100,9252
1000,1,1830
1000,5,2897
1000,10,3581
1000,20,5451
1000,50,9090
1000,100,12913
5000,1,6514
5000,5,6990
5000,10,8965
5000,20,11037
5000,50,17824
5000,100,26492
10000,1,10451
10000,5,11917
10000,10,13767
10000,20,16353
10000,50,23825
10000,100,34801
100000,1,63972
100000,5,64320
100000,10,65502
100000,20,71602
100000,50,79672
100000,100,98096
