k,avgTime
2,841
4,1270
6,1535
8,1859
10,2009
12,2290
14,2428
16,2631
18,2772
20,3025
22,3405
24,3302
26,3548
28,3698
30,3810
32,3713
34,4194
36,3973
38,3891
40,4193
42,4714
44,4666
46,4587
48,4745
50,4756
52,4669
54,4496
56,4607
58,4575
60,4608
62,5058
64,4973
66,4677
68,4499
70,5577
72,4785
74,5423
76,5165
78,5208
80,5895
82,4971
84,5652
86,4807
88,5514
90,4871
92,5299
94,5043
96,4943
98,5515
