k,avgTime
2,998
4,1373
6,1699
8,1936
10,2090
12,2436
14,2475
16,2664
18,3079
20,3022
22,3225
24,3416
26,3564
28,3781
30,3797
32,4032
34,4092
36,4268
38,4407
40,4617
42,4690
44,4720
46,5062
48,5304
50,5168
52,5429
54,5515
56,5534
58,5384
60,5700
62,5749
64,6025
66,6075
68,6017
70,5878
72,6306
74,6369
76,6588
78,6378
80,6435
82,6666
84,6625
86,6751
88,6635
90,7280
92,6912
94,6747
96,7083
98,7180
