N,avgTime
10,252
20,541
30,664
40,807
50,937
60,1154
70,1119
80,1198
90,1197
100,1364
110,1397
120,1461
130,1491
140,1536
150,1508
160,1603
170,1717
180,1758
190,1834
200,1958
210,1847
220,1939
230,1963
240,2028
250,2011
260,2020
270,2068
280,2091
290,2177
300,2190
310,2267
320,2419
330,2358
340,2466
350,2448
360,2290
370,2234
380,2388
390,2525
400,2531
410,2538
420,2532
430,2562
440,2680
450,2681
460,2727
470,2700
480,2712
490,2809
