k,avgTime
2,1768
4,3288
6,4240
8,5201
10,5690
12,6071
14,6355
16,7225
18,7679
20,7702
22,8000
24,8592
26,8670
28,8858
30,8746
32,9305
34,9575
36,9820
38,9721
40,10051
42,10527
44,10591
46,10629
48,10774
50,11345
52,10907
54,10764
56,10951
58,10688
60,10785
62,10871
64,10925
66,11644
68,12065
70,12101
72,11666
74,11582
76,12236
78,12357
80,12041
82,12638
84,12838
86,12849
88,13290
90,13268
92,13146
94,13261
96,13234
98,13328
